SubjectID	Target	Assoc
3978999276	sofra	masa
3975627654	sofra	yemek
3975297560	sofra	masa
3973880269	sofra	yemek
3970313078	sofra	aile
3969147097	sofra	masa
3968662250	sofra	yemek
3968240808	sofra	yemek
3967284794	sofra	tuz
3962910686	sofra	yemek
3961569893	sofra	kurmak
3961062726	sofra	yemek
3961058558	sofra	aile
3960919691	sofra	Türk
3960388073	sofra	yemek
3960354471	sofra	yemek
3959674601	sofra	ekmek
3959536556	sofra	peçete
3958892469	sofra	tuz
3958478795	sofra	ramazan
3958153417	sofra	bezi
3957969296	sofra	masa örtüsü
3957517953	sofra	yemek
3957511522	sofra	yemek
3957315500	sofra	takım
3957198167	sofra	tabak
3957182957	sofra	yemek
3957047760	sofra	yemek
3956928110	sofra	yemek
3956726938	sofra	zenginlik
3956398919	sofra	masa
3956364354	sofra	ramazan
3955448620	sofra	tabak
3955186195	sofra	yemek
3955121346	sofra	aile
3954671574	sofra	kaşık
3954590488	sofra	yemek
3954425539	sofra	tuzu
3954381627	sofra	yemek
3954237332	sofra	yemek
3954226832	sofra	masa
3954204193	sofra	tuz
3954178309	sofra	yemek
3954173294	sofra	yemek
3954169220	sofra	ziyafet
3954143297	sofra	yemek
3954143132	sofra	masa
3954142836	sofra	ekmek
3954103511	sofra	beraberlik
3954097659	sofra	yemek
3954038614	sofra	aile
3954028957	sofra	yemek
3978999276	suç	ceza
3975627654	suç	pişman
3975297560	suç	ceza
3973880269	suç	ceza
3970313078	suç	örgüt
3969147097	suç	ceza
3968662250	suç	ceza
3968240808	suç	zanlı
3967284794	suç	ceza
3962910686	suç	ceza
3961569893	suç	ceza
3961062726	suç	cinayet
3961058558	suç	ceza
3960919691	suç	cinayet
3960388073	suç	ceza
3960354471	suç	ceza
3959674601	suç	hapis
3959536556	suç	dedektif
3958892469	suç	ceza
3958478795	suç	ceza
3958153417	suç	ortak
3957969296	suç	ceza
3957517953	suç	ceza
3957511522	suç	hapis
3957315500	suç	gözaltı
3957198167	suç	ceza
3957182957	suç	çocuk
3957047760	suç	aykırı
3956928110	suç	hapis
3956726938	suç	ceza
3956398919	suç	ceza
3956364354	suç	ceza
3955448620	suç	zanlı
3955186195	suç	Prison Break
3955121346	suç	ortak
3954671574	suç	cezam
3954590488	suç	ceza
3954425539	suç	kimde?
3954381627	suç	siyah
3954237332	suç	ceza
3954226832	suç	hapishane
3954204193	suç	mahal
3954178309	suç	ceza
3954173294	suç	polis
3954169220	suç	adliye
3954143297	suç	ceza
3954143132	suç	suçlu
3954142836	suç	katil
3954103511	suç	ceza
3954097659	suç	ceza
3954038614	suç	hata
3954028957	suç	ceza
3978999276	atom	bomba
3975627654	atom	karınca
3975297560	atom	fizik
3973880269	atom	fizik
3970313078	atom	Einstein
3969147097	atom	parçacık
3968662250	atom	kimya
3968240808	atom	molekül
3967284794	atom	karınca
3962910686	atom	Belçika
3961569893	atom	bomba
3961062726	atom	Hiroşima
3961058558	atom	fizik
3960919691	atom	model
3960388073	atom	Einstein
3960354471	atom	karınca
3959674601	atom	Einstein
3959536556	atom	patlama
3958892469	atom	bomba
3958478795	atom	küçük
3958153417	atom	parçacık
3957969296	atom	parçacık
3957517953	atom	karınca
3957511522	atom	bomba
3957315500	atom	bilim
3957198167	atom	bomba
3957182957	atom	fizik
3957047760	atom	bomba
3956928110	atom	fen
3956726938	atom	fizik
3956398919	atom	bomba
3956364354	atom	partikül
3955448620	atom	molekül
3955186195	atom	karınca
3955121346	atom	bilim
3954671574	atom	küçük
3954590488	atom	parçacık
3954425539	atom	parçacık
3954381627	atom	Dalton
3954237332	atom	bomba
3954226832	atom	kimya
3954204193	atom	karınca
3954178309	atom	atom bombası
3954173294	atom	bomba
3954169220	atom	Einstein
3954143297	atom	molekül
3954143132	atom	Einstein
3954142836	atom	çekirdek
3954103511	atom	bilim
3954097659	atom	kimya
3954038614	atom	bilim
3954028957	atom	bomba
3978999276	nezle	grip
3975627654	nezle	hasta
3975297560	nezle	hastalık
3973880269	nezle	hastalık
3970313078	nezle	portakal
3969147097	nezle	hastalık
3968662250	nezle	hasta
3968240808	nezle	hastalık
3967284794	nezle	grip
3962910686	nezle	hasta
3961569893	nezle	olmak
3961062726	nezle	burun akıntısı
3961058558	nezle	mendil
3960919691	nezle	öksürük
3960388073	nezle	peçete
3960354471	nezle	hastalık
3959674601	nezle	burun
3959536556	nezle	burun
3958892469	nezle	grip
3958478795	nezle	hapşırmak
3958153417	nezle	grip
3957969296	nezle	grip
3957517953	nezle	grip
3957511522	nezle	grip
3957315500	nezle	peçete
3957198167	nezle	grip
3957182957	nezle	grip
3957047760	nezle	hapşırmak
3956928110	nezle	peçete
3956726938	nezle	hastalık
3956398919	nezle	soğuk
3956364354	nezle	grip
3955448620	nezle	hastalık
3955186195	nezle	burun
3955121346	nezle	virüs
3954671574	nezle	Selpak
3954590488	nezle	burun
3954425539	nezle	grip
3954381627	nezle	burun
3954237332	nezle	göz
3954226832	nezle	burun
3954204193	nezle	burun
3954178309	nezle	ıhlamur
3954173294	nezle	grip
3954169220	nezle	mendil
3954143297	nezle	hastalık
3954143132	nezle	grip
3954142836	nezle	akıntı
3954103511	nezle	hapşırık
3954097659	nezle	peçete
