Target	Assoc
altın	gümüş
alıntı	kopya
alıntı	çalıntı
asker	savaş
asker	vatan
asker	yeşil
atom	bomba
atom	karınca
avuç	el
ayıp	günah
ayıp	yanlış
açlık	Afrika
açlık	tokluk
açlık	yemek
bacak	kol
balık	deniz
barınak	hayvan
barınak	köpek
barınak	sığınak
başıboş	köpek
başıboş	serseri
belge	imza
belge	kağıt
bilişim	bilgisayar
bilişim	teknoloji
boğa	burç
büro	iş
büro	ofis
cevap	soru
delik	boşluk
delik	düğme
dinamik	enerjik
dinamik	hareketli
dizgin	at
dizgin	dolu
duygulu	ağlamak
duygulu	gözyaşı
duygulu	hassas
duygulu	hisli
elem	keder
erozyon	toprak
esinti	rüzgar
ev	aile
ev	huzur
eşya	ev
eşya	koltuk
gelin	damat
geçerlik	kabul
geçerlik	süre
giysi	elbise
giysi	kıyafet
gülüş	diş
gülüş	mutluluk
gıcırtı	kapı
hasar	deprem
hasar	kaza
hasar	zarar
hata	yanlış
hayat	yaşam
hayvan	köpek
haz	zevk
hoşnut	memnun
hukuk	adalet
hukuk	avukat
hukuk	hak
hüzün	keder
hırçınlık	agresif
hırçınlık	asabiyet
hırçınlık	asi
hırçınlık	kavga
imza	belge
imza	isim
imza	kalem
inanç	din
iyilik	kötülük
iğde	ağaç
kapı	ev
kapı	kilit
kapı	zil
kas	erkek
kas	güç
kas	spor
katil	cinayet
katil	suçlu
kayıp	cüzdan
kayıp	yok
kayıp	çocuk
kayıp	ölüm
kuş	kanat
kuş	uçmak
kuş	özgürlük
külhan	bey
kırmızı	aşk
kırmızı	kan
lezzet	yemek
medya	televizyon
meraklı	kedi
meraklı	komşu
meraklı	soru
metal	demir
mineral	soda
mineral	su
müftülük	din
nezle	grip
oksijen	hava
papatya	çiçek
para	cüzdan
para	güç
parke	yer
paslı	demir
pencere	cam
pencere	ev
peşinatsız	para
peşinatsız	taksit
pire	bit
pomat	krem
radyo	müzik
radyo	televizyon
sadık	köpek
sazlık	göl
sazlık	ot
semer	eşek
serin	soğuk
sofra	yemek
solo	tek
soğan	gözyaşı
soğan	sarımsak
standart	normal
standart	sapma
suç	ceza
süresiz	sonsuz
tabanca	kurşun
tabanca	silah
takoz	araba
takoz	eski
takoz	tahta
tane	adet
tane	kar
tane	üzüm
tanıtım	reklam
televizyon	dizi
televizyon	film
toz	duman
toz	kir
uçak	bulut
uçak	gökyüzü
uçak	hava
vali	il
vali	kaymakam
vali	tatil
vatan	millet
virüs	hastalık
yama	dikiş
yama	pantolon
yarış	araba
yatsı	namaz
yeni	eski
yoga	huzur
yoga	meditasyon
yoga	rahatlık
yoga	spor
yüzük	evlilik
zaman	saat
çehre	yüz
çömlek	çanak
övgü	başarı
övgü	iltifat
özet	kısa
özlem	hasret
şiddetli	kavga
şiddetli	yağmur
