Target	Assoc	n	Root	Root.n	Ratio
adalet	hak	13	hak	13	1.0
adalet	hakim	7	hak	13	0.75
aile	anne	16	anne	16	1.0
aile	anneanne	1	anne	16	0.67
aile	bağ	1	bağ	1	1.0
aile	bağlılık	2	bağ	1	0.55
ajan	giz	1	giz	1	1.0
ajan	gizem	1	giz	1	0.75
ajan	gizli	22	giz	1	0.75
ajan	gizlilik	5	giz	1	0.55
ajan	gizli	22	gizli	22	1.0
ajan	gizlilik	5	gizli	22	0.77
alet	el	1	el	1	1.0
alet	elektronik	1	el	1	0.33
alet	iş	2	iş	2	1.0
alet	işçi	1	iş	2	0.67
anarşist	düzen	1	düzen	1	1.0
anarşist	düzen bozucu	1	düzen	1	0.59
anarşist	düzensizlik	2	düzen	1	0.62
anarşist	terör	16	terör	16	1.0
anarşist	terörist	12	terör	16	0.77
anarşist	özgür	2	özgür	2	1.0
anarşist	özgürlük	2	özgür	2	0.77
arkadaş	sevgi	3	sevgi	3	1.0
arkadaş	sevgili	1	sevgi	3	0.83
arsa	boş	6	boş	6	1.0
arsa	boşluk	5	boş	6	0.67
arsa	mülk	3	mülk	3	1.0
arsa	mülkiyet	1	mülk	3	0.67
atletik	atlet	3	atlet	3	1.0
atletik	atletizm	1	atlet	3	0.77
atletik	koşu	5	koşu	5	1.0
atletik	koşucu	3	koşu	5	0.8
atletik	spor	31	spor	31	1.0
atletik	sporcu	14	spor	31	0.8
atletik	sportmen	5	spor	31	0.67
atom	parça	2	parça	2	1.0
atom	parçalanma	1	parça	2	0.67
atık	pis	5	pis	5	1.0
atık	pislik	12	pis	5	0.67
avuç	iç	3	iç	3	1.0
avuç	içki	1	iç	3	0.67
ayakkabı	bağ	5	bağ	5	1.0
ayakkabı	bağcık	14	bağ	5	0.67
aykırı	kural	2	kural	2	1.0
aykırı	kural dışı	1	kural	2	0.67
aykırı	uç	3	uç	3	1.0
aykırı	uçarı	1	uç	3	0.57
ayıp	kaba	1	kaba	1	1.0
ayıp	kabahat	1	kaba	1	0.73
ayıp	kız	1	kız	1	1.0
ayıp	kızarma	1	kız	1	0.6
ayıp	kızdırma	1	kız	1	0.55
baba	ev	5	ev	5	1.0
baba	evlat	1	ev	5	0.57
baba	güç	2	güç	2	1.0
baba	güçlü	1	güç	2	0.75
baba	kel	1	kel	1	1.0
baba	kellik	1	kel	1	0.67
bacak	ayak	11	ayak	11	1.0
bacak	ayakkabı	2	ayak	11	0.67
bahar	güzel	1	güzel	1	1.0
bahar	güzellik	3	güzel	1	0.77
balık	yem	1	yem	1	1.0
balık	yemek	5	yem	1	0.75
basınç	bar	4	bar	4	1.0
basınç	barometre	17	bar	4	0.5
basınç	su	3	su	3	1.0
basınç	su altı	2	su	3	0.44
basınç	yük	1	yük	1	1.0
basınç	yükseklik	2	yük	1	0.5
bayrak	ay	4	ay	4	1.0
bayrak	ay yıldız	5	ay	4	0.36
bağnaz	din	5	din	5	1.0
bağnaz	dindar	4	din	5	0.67
başıboş	sokak	1	sokak	1	1.0
başıboş	sokak çocuğu	1	sokak	1	0.59
bela	baş	3	baş	3	1.0
bela	baş ağrısı	1	baş	3	0.46
bela	güç	1	güç	1	1.0
bela	güçlük	1	güç	1	0.67
bela	kötü	7	kötü	7	1.0
bela	kötülük	10	kötü	7	0.73
belde	il	9	il	9	1.0
belde	ilçe	10	il	9	0.67
belde	yer	1	yer	1	1.0
belde	yerleşim	4	yer	1	0.55
belge	bilgi	1	bilgi	1	1.0
belge	bilgisayar	1	bilgi	1	0.67
beyaz	kar	12	kar	12	1.0
beyaz	kara	1	kar	12	0.86
bilek	ince	5	ince	5	1.0
bilek	incelik	1	ince	5	0.73
bilgi	bilge	1	bilge	1	1.0
bilgi	bilgelik	1	bilge	1	0.77
bilimci	bilim	10	bilim	10	1.0
bilimci	bilim adamı	9	bilim	10	0.62
bilişim	bilgi	8	bilgi	8	1.0
bilişim	bilgisayar	23	bilgi	8	0.67
bina	dik	1	dik	1	1.0
bina	dikdörtgen	1	dik	1	0.46
boru	kanal	1	kanal	1	1.0
boru	kanalizasyon	1	kanal	1	0.59
borçlu	para	28	para	28	1.0
borçlu	parasız	6	para	28	0.73
bunalım	saçma	1	saçma	1	1.0
bunalım	saçmalık	1	saçma	1	0.77
böcek	kara	3	kara	3	1.0
böcek	karafatma	5	kara	3	0.62
büro	iş	24	iş	24	1.0
büro	iş yeri	2	iş	24	0.44
büro	işlem	1	iş	24	0.57
büyü	fal	5	fal	5	1.0
