Target	onl	tem	umi
açlık	7	12	15
alıntı	10	14	17
altın	10	13	15
asker	10	17	13
atom	9	14	18
avuç	5	8	8
ayıp	9	21	17
bacak	9	20	15
balık	7	15	17
barınak	6	10	7
başıboş	9	10	18
belge	9	14	16
bilişim	6	9	10
boğa	9	10	13
büro	6	12	9
çehre	6	11	8
cevap	3	8	4
çömlek	5	10	15
delik	8	15	16
dinamik	9	15	14
dizgin	3	6	6
duygulu	11	16	16
elem	6	8	9
erozyon	6	8	9
esinti	4	12	7
eşya	6	11	18
ev	6	9	16
geçerlik	4	9	9
gelin	6	10	10
gıcırtı	2	7	6
giysi	6	18	13
gülüş	8	14	15
hasar	6	10	10
hata	6	15	10
hayat	9	16	15
hayvan	9	11	11
haz	9	12	11
hırçınlık	9	13	20
hoşnut	6	12	8
hukuk	7	16	11
hüzün	10	14	16
iğde	7	9	10
imza	9	19	18
inanç	6	11	10
iyilik	7	16	13
kapı	11	19	22
kas	5	21	13
katil	8	14	14
kayıp	8	14	16
kırmızı	8	15	14
külhan	6	9	9
kuş	9	18	16
lezzet	4	8	7
medya	5	10	13
meraklı	10	21	17
metal	11	18	16
mineral	6	12	9
müftülük	7	10	12
nezle	7	9	11
oksijen	9	11	11
övgü	8	16	14
özet	7	11	15
özlem	6	16	14
papatya	6	12	14
para	10	14	21
parke	7	15	13
paslı	6	8	8
pencere	8	12	11
peşinatsız	7	10	14
pire	7	12	11
pomat	7	11	6
radyo	8	9	13
sadık	7	13	16
sazlık	8	16	16
semer	4	4	3
serin	6	21	11
şiddetli	10	21	20
sofra	7	10	10
soğan	6	7	9
solo	9	11	14
standart	11	19	19
suç	5	12	8
süresiz	7	11	13
tabanca	7	9	14
takoz	5	12	15
tane	5	14	9
tanıtım	7	14	14
televizyon	10	16	14
toz	10	16	19
uçak	8	17	19
vali	10	12	17
vatan	4	10	11
virüs	5	7	8
yama	6	16	14
yarış	4	17	10
yatsı	3	5	9
yeni	9	14	13
yoga	6	13	13
yüzük	6	11	11
zaman	7	13	15
