Label	Target	SetSize
onl	altın	10
onl	alıntı	10
onl	asker	10
onl	atom	9
onl	avuç	5
onl	ayıp	9
onl	açlık	7
onl	bacak	9
onl	balık	7
onl	barınak	6
onl	başıboş	9
onl	belge	9
onl	bilişim	6
onl	boğa	9
onl	büro	6
onl	cevap	3
onl	delik	8
onl	dinamik	9
onl	dizgin	3
onl	duygulu	11
onl	elem	6
onl	erozyon	6
onl	esinti	4
onl	ev	6
onl	eşya	6
onl	gelin	6
onl	geçerlik	4
onl	giysi	6
onl	gülüş	8
onl	gıcırtı	2
onl	hasar	6
onl	hata	6
onl	hayat	9
onl	hayvan	9
onl	haz	9
onl	hoşnut	6
onl	hukuk	7
onl	hüzün	10
onl	hırçınlık	9
onl	imza	9
onl	inanç	6
onl	iyilik	7
onl	iğde	7
onl	kapı	11
onl	kas	5
onl	katil	8
onl	kayıp	8
onl	kuş	9
onl	külhan	6
onl	kırmızı	8
onl	lezzet	4
onl	medya	5
onl	meraklı	10
onl	metal	11
onl	mineral	6
onl	müftülük	7
onl	nezle	7
onl	oksijen	9
onl	papatya	6
onl	para	10
onl	parke	7
onl	paslı	6
onl	pencere	8
onl	peşinatsız	7
onl	pire	7
onl	pomat	7
onl	radyo	8
onl	sadık	7
onl	sazlık	8
onl	semer	4
onl	serin	6
onl	sofra	7
onl	solo	9
onl	soğan	6
onl	standart	11
onl	suç	5
onl	süresiz	7
onl	tabanca	7
onl	takoz	5
onl	tane	5
onl	tanıtım	7
onl	televizyon	10
onl	toz	10
onl	uçak	8
onl	vali	10
onl	vatan	4
onl	virüs	5
onl	yama	6
onl	yarış	4
onl	yatsı	3
onl	yeni	9
onl	yoga	6
onl	yüzük	6
onl	zaman	7
onl	çehre	6
onl	çömlek	5
onl	övgü	8
onl	özet	7
onl	özlem	6
onl	şiddetli	10
tem	altın	13
tem	alıntı	14
tem	asker	17
tem	atom	14
tem	avuç	8
tem	ayıp	21
tem	açlık	12
tem	bacak	20
tem	balık	15
tem	barınak	10
tem	başıboş	10
tem	belge	14
tem	bilişim	9
tem	boğa	10
tem	büro	12
tem	cevap	8
tem	delik	15
tem	dinamik	15
tem	dizgin	6
tem	duygulu	16
tem	elem	8
tem	erozyon	8
tem	esinti	12
tem	ev	9
tem	eşya	11
tem	gelin	10
tem	geçerlik	9
tem	giysi	18
tem	gülüş	14
tem	gıcırtı	7
tem	hasar	10
tem	hata	15
tem	hayat	16
tem	hayvan	11
tem	haz	12
tem	hoşnut	12
tem	hukuk	16
tem	hüzün	14
tem	hırçınlık	13
tem	imza	19
tem	inanç	11
tem	iyilik	16
tem	iğde	9
tem	kapı	19
tem	kas	21
tem	katil	14
tem	kayıp	14
tem	kuş	18
tem	külhan	9
tem	kırmızı	15
tem	lezzet	8
tem	medya	10
tem	meraklı	21
tem	metal	18
tem	mineral	12
tem	müftülük	10
tem	nezle	9
tem	oksijen	11
tem	papatya	12
tem	para	14
tem	parke	15
tem	paslı	8
tem	pencere	12
tem	peşinatsız	10
tem	pire	12
tem	pomat	11
tem	radyo	9
tem	sadık	13
tem	sazlık	16
tem	semer	4
tem	serin	21
tem	sofra	10
tem	solo	11
tem	soğan	7
tem	standart	19
tem	suç	12
tem	süresiz	11
tem	tabanca	9
tem	takoz	12
tem	tane	14
tem	tanıtım	14
tem	televizyon	16
tem	toz	16
tem	uçak	17
tem	vali	12
tem	vatan	10
tem	virüs	7
tem	yama	16
tem	yarış	17
tem	yatsı	5
tem	yeni	14
tem	yoga	13
tem	yüzük	11
tem	zaman	13
tem	çehre	11
tem	çömlek	10
tem	övgü	16
tem	özet	11
tem	özlem	16
tem	şiddetli	21
umi	altın	15
umi	alıntı	17
umi	asker	13
umi	atom	18
umi	avuç	8
umi	ayıp	17
umi	açlık	15
umi	bacak	15
umi	balık	17
umi	barınak	7
umi	başıboş	18
umi	belge	16
umi	bilişim	10
umi	boğa	13
umi	büro	9
umi	cevap	4
umi	delik	16
umi	dinamik	14
umi	dizgin	6
umi	duygulu	16
umi	elem	9
umi	erozyon	9
umi	esinti	7
umi	ev	16
umi	eşya	18
umi	gelin	10
umi	geçerlik	9
umi	giysi	13
umi	gülüş	15
umi	gıcırtı	6
umi	hasar	10
umi	hata	10
umi	hayat	15
umi	hayvan	11
umi	haz	11
umi	hoşnut	8
umi	hukuk	11
umi	hüzün	16
umi	hırçınlık	20
umi	imza	18
umi	inanç	10
umi	iyilik	13
umi	iğde	10
umi	kapı	22
umi	kas	13
umi	katil	14
umi	kayıp	16
umi	kuş	16
umi	külhan	9
umi	kırmızı	14
umi	lezzet	7
umi	medya	13
umi	meraklı	17
umi	metal	16
umi	mineral	9
umi	müftülük	12
umi	nezle	11
umi	oksijen	11
umi	papatya	14
umi	para	21
umi	parke	13
umi	paslı	8
umi	pencere	11
umi	peşinatsız	14
umi	pire	11
umi	pomat	6
umi	radyo	13
umi	sadık	16
umi	sazlık	16
umi	semer	3
umi	serin	11
umi	sofra	10
umi	solo	14
umi	soğan	9
umi	standart	19
umi	suç	8
umi	süresiz	13
umi	tabanca	14
umi	takoz	15
umi	tane	9
umi	tanıtım	14
umi	televizyon	14
umi	toz	19
umi	uçak	19
umi	vali	17
umi	vatan	11
umi	virüs	8
umi	yama	14
umi	yarış	10
umi	yatsı	9
umi	yeni	13
umi	yoga	13
umi	yüzük	11
umi	zaman	15
umi	çehre	8
umi	çömlek	15
umi	övgü	14
umi	özet	15
umi	özlem	14
umi	şiddetli	20
